DBN,School Name,School Type,Total Parent Response Rate (%),Total Teacher Response Rate (%),Total Student Response Rate (%),class
01M015,P.S. 015 Roberto Clemente,ES,66,100,,False
01M019,P.S. 019 Asher Levy,ES,96,97,,False
01M020,P.S. 020 Anna Silver,ES,71,79,,True
01M034,P.S. 034 Franklin D. Roosevelt,ES/MS,40,88,94.0,True
01M063,The STAR Academy – P.S.63,ES,70,100,,False
01M064,P.S. 064 Robert Simon,ES,78,85,,False
01M110,P.S. 110 Florence Nightingale,ES,86,94,,True
01M134,P.S. 134 Henrietta Szold,ES,29,74,,True
01M137,P.S. 137 John L. Bernstein,ES,74,79,,True
01M140,P.S. 140 Nathan Straus,ES/MS,41,85,96.0,True
01M142,P.S. 142 Amalia Castro,ES,90,100,,False
01M184,P.S. 184m Shuang Wen,ES/MS,65,68,100.0,True
01M188,P.S. 188 The Island School,ES/MS,59,61,81.0,False
01M292,Henry Street School for International Studies,MS/HS,48,94,74.0,False
01M301,"Technology, Arts, and Sciences Studio",MS,39,100,92.0,False
01M315,The East Village Community School,ES,64,86,,False
01M332,University Neighborhood Middle School,MS,91,100,99.0,False
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,53,71,97.0,True
01M361,The Children's Workshop School,ES,31,36,,False
01M363,Neighborhood School,ES,62,96,,False
01M364,Earth School,ES,58,87,,False
01M378,School for Global Leaders,MS,71,96,93.0,False
01M448,University Neighborhood High School,HS,26,86,79.0,True
01M450,East Side Community School,MS/HS,33,92,75.0,False
01M458,Forsyth Satellite Academy,HST,20,92,70.0,True
01M509,Marta Valle High School,HS,10,75,46.0,True
01M515,Lower East Side Preparatory High School,HST,64,100,96.0,False
01M539,"New Explorations into Science, Technology and Math High School",ES/MS/HS,46,57,96.0,True
01M650,Cascades High School,HST,30,100,87.0,False
01M696,Bard High School Early College,HS,50,57,91.0,False
01M839,Tompkins Square Middle School,MS,40,69,98.0,False
02M001,P.S. 001 Alfred E. Smith,ES,57,78,,True
02M002,P.S. 002 Meyer London,ES,95,80,,False
02M003,P.S. 003 Charrette School,ES,74,94,,False
02M006,P.S. 006 Lillie D. Blake,ES,65,88,,False
02M011,P.S. 011 William T. Harris,ES,55,89,,False
02M033,P.S. 033 Chelsea Prep,ES,83,92,,False
02M040,P.S. 040 Augustus Saint-Gaudens,ES,41,63,,False
02M041,P.S. 041 Greenwich Village,ES,73,96,,False
02M042,P.S. 042 Benjamin Altman,ES,91,93,,False
02M047,47 The American Sign Language and English Secondary School,HS,40,90,95.0,False
02M051,P.S. 051 Elias Howe,ES,81,96,,False
02M059,P.S. 059 Beekman Hill International,ES,63,76,,False
02M077,P.S. 77 Lower Lab School,ES,86,95,,False
02M089,P.S. 89,ES,68,73,,False
02M104,J.H.S. 104 Simon Baruch,MS,86,100,97.0,True
02M111,P.S. 111 Adolph S. Ochs,ES/MS,22,33,93.0,True
02M114,East Side Middle School,MS,64,100,100.0,False
02M116,P.S. 116 Mary Lindley Murray,ES,52,89,,False
02M124,P.S. 124 Yung Wing,ES,100,77,,True
02M126,P.S. 126 Jacob August Riis,ES/MS,45,85,96.0,False
02M130,P.S. 130 Hernando De Soto,ES,81,96,,False
02M131,M.S. 131,MS,64,34,94.0,True
02M150,P.S. 150,ES,53,92,,False
02M151,Yorkville Community School,ECC,56,92,,False
02M158,P.S. 158 Bayard Taylor,ES,54,71,,True
02M167,J.H.S. 167 Robert F. Wagner,MS,64,62,94.0,True
02M183,P.S. 183 Robert L. Stevenson,ES,61,90,,False
02M198,P.S. 198 Isador E. Ida Straus,ES,92,67,,True
02M212,P.S. 212 Midtown West,ES,94,82,,False
02M217,P.S./I.S. 217 Roosevelt Island,ES/MS,56,86,98.0,False
02M225,Ella Baker School,ES/MS,41,82,83.0,False
02M234,P.S. 234 Independence School,ES,71,84,,False
02M255,M.S. 255 Salk School of Science,MS,53,92,99.0,False
02M260,M.S. 260 Clinton School Writers & Artists,MS,40,100,94.0,False
02M267,"East Side Elementary School, PS 267",ECC,73,100,,False
02M276,BATTERY PARK CITY SCHOOL,ES/MS,64,100,96.0,False
02M288,Food and Finance High School,HS,27,97,79.0,True
02M289,I.S. 289,MS,63,74,98.0,False
02M290,P.S. 290 Manhattan New School,ES,62,83,,False
02M294,Essex Street Academy,HS,15,93,74.0,False
02M296,High School of Hospitality Management,HS,37,100,72.0,True
02M298,Pace High School,HS,83,100,100.0,True
02M300,"Urban Assembly School of Design and Construction, The",HS,21,96,79.0,True
02M303,"Facing History School, The",HS,49,89,81.0,False
02M305,"Urban Assembly Academy of Government and Law, The",HS,13,100,92.0,True
02M308,Lower Manhattan Arts Academy,HS,16,91,70.0,True
02M312,New York City Lab Middle School for Collaborative Studies,MS,64,94,99.0,False
02M313,"James Baldwin School, The: A School for Expeditionary Learning",HST,35,100,82.0,False
02M316,"Urban Assembly School of Business for Young Women, the",HS,62,72,80.0,True
02M343,The Peck Slip School,ECC,90,100,,False
02M347,The 47 American Sign Language & English Lower School,ES/MS,30,84,94.0,True
02M374,Gramercy Arts High School,HS,70,82,95.0,True
02M376,NYC iSchool,HS,41,100,70.0,False
02M392,MANHATTAN BUSINESS ACADEMY,HS,43,97,82.0,True
02M393,BUSINESS OF SPORTS SCHOOL,HS,34,100,65.0,True
02M394,EMMA LAZARUS HIGH SCHOOL,HST,95,100,96.0,False
02M397,SPRUCE STREET SCHOOL,ECC,68,83,,False
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,HS,6,61,47.0,True
02M400,High School for Environmental Studies,HS,10,99,74.0,True
02M407,Institute for Collaborative Education,MS/HS,26,88,89.0,False
02M408,Professional Performing Arts High School,MS/HS,32,96,88.0,True
02M411,Baruch College Campus High School,HS,25,36,94.0,True
02M412,N.Y.C. Lab School for Collaborative Studies,HS,33,68,91.0,False
02M413,School of the Future High School,MS/HS,65,63,94.0,True
02M414,N.Y.C. Museum School,HS,19,52,99.0,True
02M416,Eleanor Roosevelt High School,HS,53,93,97.0,False
02M418,Millennium High School,HS,37,100,98.0,False
02M419,Landmark High School,HS,46,100,69.0,True
02M420,High School for Health Professions and Human Services,HS,42,99,91.0,True
02M422,Quest to Learn,MS/HS,69,96,93.0,True
02M425,Leadership and Public Service High School,HS,12,68,50.0,True
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,HS,28,96,87.0,False
02M429,Legacy School for Integrated Studies,HS,5,73,57.0,True
02M432,MURRAY HILL ACADEMY,HST,62,100,97.0,True
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,HS,47,88,77.0,True
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,HS,13,74,88.0,False
02M439,Manhattan Village Academy,HS,53,78,99.0,False
02M442,"Ballet Tech, NYC Public School for Dance",ES/MS,61,89,100.0,False
02M449,Vanguard High School,HS,34,94,84.0,False
02M459,Manhattan International High School,HS,70,90,93.0,False
02M460,Washington Irving High School,HS,14,62,74.0,True
02M473,Washington Irving Yabc,YABC,12,76,63.0,False
02M475,Stuyvesant High School,HS,49,94,96.0,True
02M489,High School of Economics and Finance,HS,42,96,89.0,False
02M500,Unity Center for Urban Technologies,HS,65,100,67.0,True
02M507,Urban Assembly Gateway School for Technology,HS,40,100,92.0,False
02M519,Talent Unlimited High School,HS,49,96,94.0,True
02M520,Murry Bergtraum High School for Business Careers,HS,9,95,49.0,True
02M527,PS 527 - East Side School for Social Action,ECC,95,100,,False
02M529,Jacqueline Kennedy Onassis High School,HS,13,58,77.0,True
02M531,Repertory Company High School for Theatre Arts,HS,48,92,85.0,True
02M533,Union Square Academy for Health Sciences,HS,57,100,87.0,False
02M534,Harvest Collegiate High School,HS,62,90,95.0,False
02M542,Manhattan Bridges High School,HS,52,95,77.0,False
02M543,New Design High School,HS,3,88,31.0,True
02M544,Independence High School,HST,19,91,31.0,False
02M545,High School for Dual Language and Asian Studies,HS,47,54,93.0,False
02M546,Academy for Software Engineering,HS,54,100,94.0,False
