retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,0,3e053293a3daadc9ad622628632ab484,worksAt,0.12975316877918613,3109,2,58436,2,5e-6
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,1,214f45c3af7758a15bba6cbe0f42a7f2,subject,0.23448965977318212,3109,2,7110,2,4e-6
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,2,579b951225c94f8ac4fd05ee1c4d55eb,graduatedFrom,0.07671781187458306,3109,2,223220,2,4e-6
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,3,74ca3153e0861b2f84924018b92f50d5,happenedIn,0.00333555703802535,3109,2,45590,2,6e-6
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,4,e55c5fbe7bd369931ae1a9b1e139117a,subject,0.32221480987324885,3109,2,65435,2,5e-6
minhash,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,5,91258ecfb767792f6de9c60b2f278e53,playsFor,0.031020680453635756,3109,2,1166089,2,0.00001
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,0,e55c5fbe7bd369931ae1a9b1e139117a,subject,0.32221480987324885,3109,2,65435,2,8e-6
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,1,214f45c3af7758a15bba6cbe0f42a7f2,subject,0.23448965977318212,3109,2,7110,2,4e-6
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,2,3e053293a3daadc9ad622628632ab484,worksAt,0.12975316877918613,3109,2,58436,2,6e-6
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,3,579b951225c94f8ac4fd05ee1c4d55eb,graduatedFrom,0.07671781187458306,3109,2,223220,2,5e-6
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,4,91258ecfb767792f6de9c60b2f278e53,playsFor,0.031020680453635756,3109,2,1166089,2,0.00001
minhash_hybrid,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,5,74ca3153e0861b2f84924018b92f50d5,happenedIn,0.00333555703802535,3109,2,45590,2,6e-6
exact_matching,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,0,6718868bd0dc6d153cbaeec8e41480dd,subject,0.8255503669112741,3109,2,3289399,2,0.000025
exact_matching,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,1,7b879cbeede3c94cc8977f725723ce0f,subject,0.8118745830553702,3109,2,639619,2,8e-6
exact_matching,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,2,d5fab84d7f1f089ec5d305d34a2da380,subject,0.6837891927951968,3109,2,477278,2,5e-6
exact_matching,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,3,e55c5fbe7bd369931ae1a9b1e139117a,subject,0.32221480987324885,3109,2,65435,2,6e-6
exact_matching,binary_update,company_employees-yadl-depleted,col_to_embed,first,200,4,214f45c3af7758a15bba6cbe0f42a7f2,subject,0.23448965977318212,3109,2,7110,2,4e-6
