retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,0,c062a7e5a2e705f061ca408befe3fb64,c_6_addrstr,0.01040582726326743,14850,3,508,75,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,1,7b7845ee6ccf484618e114a50076df8c,c_6_school,0.0023649607416516886,14850,3,2205,24,8e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,2,d308c0e36ef24ff4f870b7408015f04d,c_21_superintendentfirstname,0.007567874373285403,14850,3,8463,75,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,3,a6e43d2f446b2c2f580d19231fc2e649,c_1_geographic_name,0.005108315201967647,14850,3,1303,36,9e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,4,320275966b10f6e983bfb82fc3f5d75e,c_4_county,0.005202913631633715,14850,3,781,27,0.000011
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,5,53edc1f9a6627af61fce083665b73b8b,c_7_city,0.008703055529278214,14850,3,50000,20,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,6,962a56e76ea9329a013c3fd412ec1cd8,c_5_school,0.002270362311985621,14850,3,50000,110,9e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,7,06c8edb923d3ed45ea075b53490bca4c,c_38_superintendentfirstname,0.007189480654621133,14850,3,7590,71,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,8,7ef0e2577992b3e6dd5c95e87d3012f9,c_8_rp_lst_nm,0.07653012959984865,14850,3,50000,22,9e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,9,51a298b09b186038a89eea11f488bebc,c_39_sitestreetaddresscity,0.031028284930470156,14850,3,6075,70,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,10,dd5b2385c93fb0567ce4b9b306babc93,c_1_column_2,0.012770788004919119,14850,3,9964,5,0.00001
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,11,62edeea0a9c49977cb79ed9d873258b1,c_7_school,0.002270362311985621,14850,3,6490,111,9e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,12,15dbcf9097cf2004c8a084970c21300e,c_12_schoolname,0.002270362311985621,14850,3,3090,25,6e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,13,eb5a1f4e3c1823041373e3d61423ddef,c_26_EMPCITY,0.1418976444991013,14850,3,122647,52,6e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,14,d495fe298cd3f7f737b38fd0e84a57e4,c_1_column_2,0.013149181723583389,14850,3,3559,5,7e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,15,2f679b305ae3099ea4fa7693a5fa4e71,c_0_column_1,0.007000283795288998,14850,3,680,1,5e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,16,9e6d26203561112c7fb7acfec9442be5,c_28_cemailingaddresscity,0.016460126761895753,14850,3,9846,75,6e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,17,c47f7e1068399de2a86d8125e38e5d8c,c_5_multiple,0.002081165452653486,14850,3,3203,31,8e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,18,fd5cc5b9e3babb1e6770bc0295c24bdc,c_2_column_3,0.002081165452653486,14850,3,50001,31,8e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,19,72540b946fbd2099b9f5ba31ade69dca,c_44_sitemailingaddresscity,0.02469019014284363,14850,3,4009,73,8e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,20,8f68aa69a94b8e61dd44c437bdbb8474,c_46_sitecontactlastname,0.025919969728502506,14850,3,4091,58,8e-6
minhash,open_data_us,us_accidents_2021-depleted-open_data_County,County,first,200,21,90f2370b94d059f5523bd98c8491b443,c_3_column_4,0.0018919685933213508,14850,3,924,44,9e-6
