retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,0,ba4cb12bc87fa8ec1d2e0416a06353eb,graduatedFrom_0,0.02134756504336224,3109,2,2224,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,1,5c2ff9e24e994764406ab84c4925d865,playsFor_0,0.00066711140760507,3109,2,190,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,2,91b06b2144ad6163f7bded56e80ff386,created_0,0.1447631754503002,3109,2,157894,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,3,20da0a670ff0696efa7dedbdcba51efc,playsFor_1,0.011007338225483656,3109,2,2012757,52,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,4,b7c53551badc038a2a7865beaf33d4ed,wordnet_couturier_109972157,0.00066711140760507,3109,2,560,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,5,de18bfe5a17d6776ffa123348757f48f,graduatedFrom_0,0.007004669779853236,3109,2,1202,28,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,6,cb4fc449e7f46f41822e2d0d56f24529,graduatedFrom_0,0.019346230820547032,3109,2,999,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,7,f17ce1167936bd24d481ee2f8f506cc4,worksAt_0,0.08972648432288192,3109,2,24928,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,8,6aaab9b7ac96af6a12b57c49ff1f8ed5,wordnet_airline_102690081,0.015343562374916611,3109,2,465,3,7e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,9,fec8677aaa35fcd7f4114fc1ed044b2a,graduatedFrom_0,0.01067378252168112,3109,2,542,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,10,859f93591ed0ae53bb5678e5b3267b54,graduatedFrom_0,0.04903268845897265,3109,2,7371,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,11,3448edd7123d80455c393ef4bf834bfd,graduatedFrom_0,0.025350233488992662,3109,2,6185,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,12,2e6d5f42a5559e261b262ba5e23a28e5,wordnet_publisher_108062623,0.00066711140760507,3109,2,2527,3,0.00001
