retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,0,bc8cb10329ccb2cfb486baacb7507d3c,graduatedFrom,0.007004669779853236,3109,2,849,22,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,1,28213a95acad85ec51c8568b1ca1b1f4,graduatedFrom,0.024349566377585057,3109,2,5118,27,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,2,8a1343561400a3bf051ee1f0a7142f10,graduatedFrom,0.024349566377585057,3109,2,5118,26,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,3,b9c0bcbeaa787062a2681ed1f463767f,happenedIn,0.00266844563042028,3109,2,39675,7,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,4,31397f3efdd783f2ddfb6754949845f5,graduatedFrom,0.009339559706470981,3109,2,2537,23,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,5,cae05570a3e290a4100f763c56130a1c,isLocatedIn,0.001667778519012675,3109,2,735557,35,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,6,04fae8aef6cb1e54e36c2c5a4bcc2789,wordnet_company_108058098,0.7048032021347566,3109,2,99892,16,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,7,daaeeb123af3c00791c88d46b45ace5f,graduatedFrom,0.008338892595063376,3109,2,5606,27,0.000011
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,8,a00db277cf1a85543478b6ecf1ae65ac,isLocatedIn,0.00133422281521014,3109,2,37429,13,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,9,3efbc3f1bf88f5fa1ac9f04305593b8e,wasBornIn,0.0010006671114076052,3109,2,23165,31,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,10,305b6c4d22b21b91ee18a008e37ef758,worksAt,0.1094062708472315,3109,2,2585036,43,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,11,9aab64bbc7ecd25171259b70c203fcd1,graduatedFrom,0.0400266844563042,3109,2,21633,29,0.000011
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,12,287fded905e75248d3e6db4410f14ae0,graduatedFrom,0.00600400266844563,3109,2,1498,26,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,13,f560ae07231f66abd213b8dc3d110adb,graduatedFrom,0.00867244829886591,3109,2,1285,22,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,14,212e3cc49d6bac244613fc2151aa17f5,isAffiliatedTo,0.0010006671114076052,3109,2,3817,21,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,15,5444c008406e58288ad554aec20269c5,worksAt,0.10406937958639093,3109,2,84067,32,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,16,9c9347a5b783303d9745344feea8c07a,graduatedFrom,0.011007338225483656,3109,2,3625,23,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,17,5e5b58fb468cdb1f00b84e5c2cb365c6,playsFor,0.00066711140760507,3109,2,120113,33,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,18,3a67087cf927e9b7450c5b00cda1990f,isLocatedIn,0.000333555703802535,3109,2,2398,10,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,19,4db1b7070c1151bab7cecfb389d1ad57,graduatedFrom,0.04903268845897265,3109,2,51830,37,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,20,3b9ce22c47b68ac6f7d7ead8dc6d4673,isLocatedIn,0.003002001334222815,3109,2,84277,26,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,21,33853d550eeb94113411ab5a0f0a4b55,graduatedFrom,0.03702468312208139,3109,2,15143,29,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,22,20e75577e3073342e9b2127ba563133c,graduatedFrom,0.07538358905937291,3109,2,2585030,43,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,23,031501c9ac4fabcb59a6daef4a07c050,graduatedFrom,0.02068045363575717,3109,2,4841,28,0.000012
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,24,ca21742f5372d46a12ce64f9df57de15,graduatedFrom,0.021014009339559707,3109,2,4841,29,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,25,34e59c5fa5ef6d1c6feeef5f2112f1bc,graduatedFrom,0.00733822548365577,3109,2,2141,28,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,26,c7f54df4b5dc48e94c83947081f04593,graduatedFrom,0.014342895263509006,3109,2,6472,29,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,27,434349b86d6c87e7d56bd79480884c47,isLeaderOf,0.00333555703802535,3109,2,197566,40,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,28,394ecb20906afc2968a5f6f2c25bb727,graduatedFrom,0.01467645096731154,3109,2,9247,30,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,29,50d660406b465b6938f5299bbc914bf7,isLocatedIn,0.00133422281521014,3109,2,37430,14,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,30,0f1da92de53cf7b200168673e2900e4a,graduatedFrom,0.0020013342228152103,3109,2,369,17,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,31,6ce91fac763a4fe5d00ddd200e384c62,worksAt,0.10807204803202135,3109,2,120113,34,0.00001
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,32,3c3fb32716885539cfb8919fbe905f55,worksAt,0.054036024016010674,3109,2,21633,29,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,33,b68388ae65f9ec17be1ff1a27e32781d,graduatedFrom,0.023682454969979987,3109,2,6917,30,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,34,113244954d3b825ecffa354ba7abc18c,wordnet_airline_102690081,0.016344229486324215,3109,2,1261,3,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,35,4d23bff05573047baaeed71ae7ae178e,isLocatedIn,0.0020013342228152103,3109,2,27832,7,8e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,36,61f3d0977e9260850f10e3d77b4a8160,graduatedFrom,0.022348232154769845,3109,2,8803,24,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,37,fa30031afb15fb093847651b2a000598,graduatedFrom,0.01467645096731154,3109,2,9245,28,9e-6
minhash,wordnet_vldb_50,company_employees-yadl-depleted,col_to_embed,first,200,38,96af8bfcc79a4f1e74594f5b36355610,wordnet_couturier_109972157,0.00066711140760507,3109,2,591,23,9e-6
