table,num_attr,cat_attr,n_rows
company_employees-yadl,2,8,3109
company_employees-yadl-depleted,1,1,3109
housing_prices-yadl-depleted,1,1,22250
housing_prices-yadl,3,8,22250
movies_vote-yadl-depleted,1,1,3837
movies_vote-yadl,7,11,3837
us_accidents-yadl,3,10,5222
movies-yadl-depleted,1,1,3837
us_elections-yadl-depleted,1,1,22093
movies-yadl,8,11,3837
us_accidents-yadl-depleted,1,1,5222
us_elections-yadl,3,7,22093
us_county_population-yadl-depleted,1,1,3059
us_elections_dem-yadl,3,7,5117
us_elections_dem-yadl-depleted,1,1,5117
